inputfile,status,cpu_time,wall_time,host
array-tiling/mlceu2.yml,OUT OF MEMORY,481.64,481.68,apollon071
array-tiling/nr2.yml,OUT OF MEMORY,155.77,155.78,apollon102
array-tiling/nr3.yml,OUT OF MEMORY,65.22,64.39,apollon086
array-tiling/nr4.yml,OUT OF MEMORY,75.17,74.45,apollon131
array-tiling/nr5.yml,OUT OF MEMORY,97.21,96.4,apollon092
array-tiling/pnr2.yml,OUT OF MEMORY,172.61,172.6,apollon081
array-tiling/pnr3.yml,OUT OF MEMORY,287.76,287.77,apollon135
array-tiling/pnr4.yml,OUT OF MEMORY,483.63,483.81,apollon158
array-tiling/pnr5.yml,OUT OF MEMORY,667.79,667.81,apollon111
array-tiling/poly1.yml,ERROR (42),875.74,875.08,apollon070
array-tiling/poly2.yml,OUT OF MEMORY,63.83,63.85,apollon068
array-tiling/pr2.yml,OUT OF MEMORY,116.25,116.24,apollon113
array-tiling/pr3.yml,OUT OF MEMORY,297.88,298.0,apollon073
array-tiling/pr4.yml,OUT OF MEMORY,407.27,407.28,apollon138
array-tiling/pr5.yml,OUT OF MEMORY,711.41,711.67,apollon073
array-tiling/revcpyswp2.yml,OUT OF MEMORY,646.83,646.95,apollon098
array-tiling/rew.yml,OUT OF MEMORY,362.2,362.38,apollon118
array-tiling/rewnif.yml,OUT OF MEMORY,327.5,327.57,apollon071
array-tiling/rewnifrev.yml,OUT OF MEMORY,156.4,156.39,apollon075
array-tiling/rewnifrev2.yml,OUT OF MEMORY,142.91,142.94,apollon086
array-tiling/rewrev.yml,OUT OF MEMORY,160.17,160.17,apollon120
array-tiling/skipped.yml,OUT OF MEMORY,180.62,180.68,apollon154
array-tiling/skippedu.yml,false(unreach-call),0.39,0.37,apollon139
array-tiling/tcpy.yml,OUT OF MEMORY,441.15,441.22,apollon092
array-programs/copysome1-1.yml,OUT OF MEMORY,188.07,187.3,apollon080
array-programs/copysome1-2.yml,OUT OF MEMORY,195.41,194.65,apollon084
array-programs/copysome2-1.yml,OUT OF MEMORY,234.13,233.4,apollon099
array-programs/copysome2-2.yml,OUT OF MEMORY,249.54,248.9,apollon111
array-programs/partial_mod_count_1.yml,OUT OF MEMORY,323.72,322.94,apollon082
array-programs/partial_mod_count_2.yml,OUT OF MEMORY,402.82,401.91,apollon099
array-programs/partial_mod_count_3.yml,OUT OF MEMORY,341.92,341.15,apollon132
array-programs/partial_mod_count_4.yml,OUT OF MEMORY,328.64,327.99,apollon092
array-programs/partial_mod_count_5.yml,OUT OF MEMORY,414.12,413.05,apollon163
array-programs/partial_mod_count_limited_1.yml,OUT OF MEMORY,534.86,534.13,apollon163
array-programs/partial_mod_count_limited_2.yml,true,45.43,45.44,apollon122
array-programs/partial_mod_count_limited_3.yml,true,26.08,26.06,apollon147
array-programs/partial_mod_count_limited_4.yml,true,27.36,27.35,apollon075
array-programs/partial_mod_count_limited_5.yml,true,34.26,34.25,apollon110
array-programs/partial_mod_count_limited_base.yml,OUT OF MEMORY,518.06,517.69,apollon165
array-programs/partial_mod_count_limited_gen.yml,true,642.79,642.96,apollon070
array-crafted/bAnd1.yml,true,0.86,0.85,apollon127
array-crafted/bAnd2.yml,true,34.26,34.25,apollon160
array-crafted/bAnd3.yml,OUT OF MEMORY,30.71,29.98,apollon098
array-crafted/bAnd4.yml,OUT OF MEMORY,104.73,104.01,apollon083
array-crafted/bAnd5.yml,OUT OF MEMORY,219.43,219.43,apollon102
array-crafted/bor1.yml,true,0.81,0.8,apollon059
array-crafted/bor2.yml,true,8.09,8.08,apollon146
array-crafted/bor3.yml,OUT OF MEMORY,30.85,30.14,apollon107
array-crafted/bor4.yml,OUT OF MEMORY,109.73,108.89,apollon108
array-crafted/bor5.yml,OUT OF MEMORY,219.1,219.14,apollon084
array-crafted/mapavg1.yml,ERROR (42),875.06,875.08,apollon141
array-crafted/mapavg2.yml,ERROR (42),875.18,875.07,apollon107
array-crafted/mapavg3.yml,OUT OF MEMORY,33.84,33.0,apollon080
array-crafted/mapavg4.yml,OUT OF MEMORY,111.26,110.51,apollon158
array-crafted/mapavg5.yml,ERROR (42),875.04,875.07,apollon149
array-crafted/mapsum1.yml,ERROR (42),875.1,875.06,apollon166
array-crafted/mapsum2.yml,ERROR (42),875.22,875.06,apollon066
array-crafted/mapsum3.yml,OUT OF MEMORY,32.84,31.93,apollon167
array-crafted/mapsum4.yml,OUT OF MEMORY,109.45,108.7,apollon121
array-crafted/mapsum5.yml,ERROR (42),874.7,875.06,apollon156
array-crafted/xor1.yml,true,1.87,1.86,apollon124
array-crafted/xor2.yml,true,15.27,15.26,apollon129
array-crafted/xor3.yml,OUT OF MEMORY,30.29,29.55,apollon060
array-crafted/xor4.yml,OUT OF MEMORY,109.59,108.86,apollon153
array-crafted/xor5.yml,OUT OF MEMORY,267.03,267.15,apollon109
array-crafted/zero_sum1.yml,ERROR (42),875.05,875.07,apollon093
array-crafted/zero_sum2.yml,ERROR (42),875.05,875.06,apollon091
array-crafted/zero_sum3.yml,ERROR (42),874.73,875.07,apollon128
array-crafted/zero_sum4.yml,ERROR (42),874.88,875.07,apollon071
array-crafted/zero_sum5.yml,ERROR (42),875.07,875.06,apollon081
array-crafted/zero_sum_const1.yml,OUT OF MEMORY,477.2,477.2,apollon088
array-crafted/zero_sum_const2.yml,OUT OF MEMORY,479.34,479.35,apollon160
array-crafted/zero_sum_const3.yml,OUT OF MEMORY,477.95,478.14,apollon134
