inputfile                                                                                                                                                                          status                       cpu time   wall time        host
array-industry-pattern/array_ptr_partial_init.yml                                                                                                                                  OUT OF MEMORY                   60.23       59.09  apollon064
array-industry-pattern/array_ptr_single_elem_init-1.yml                                                                                                                            OUT OF MEMORY                   63.91       62.76  apollon130
array-industry-pattern/array_ptr_single_elem_init-2.yml                                                                                                                            unknown                          0.15        0.15  apollon096
array-industry-pattern/array_range_init.yml                                                                                                                                        OUT OF MEMORY                   59.94       58.70  apollon032
array-industry-pattern/array_shadowinit.yml                                                                                                                                        TIMEOUT                        900.21      900.26  apollon064
array-industry-pattern/array_single_elem_init.yml                                                                                                                                  TIMEOUT                        900.20      900.27  apollon002
array-industry-pattern/check_removal_from_set_after_insertion.yml                                                                                                                  unknown                          0.12        0.11  apollon022
reducercommutativity/avg05-1.yml                                                                                                                                                   unknown                          0.09        0.09  apollon027
reducercommutativity/avg10-2.yml                                                                                                                                                   unknown                          0.10        0.09  apollon153
reducercommutativity/avg20-2.yml                                                                                                                                                   unknown                          0.07        0.07  apollon165
reducercommutativity/avg40-2.yml                                                                                                                                                   unknown                          0.07        0.07  apollon080
reducercommutativity/avg60-1.yml                                                                                                                                                   unknown                          0.09        0.09  apollon121
reducercommutativity/max.yml                                                                                                                                                       unknown                          0.08        0.07  apollon082
reducercommutativity/max05-1.yml                                                                                                                                                   unknown                          0.07        0.07  apollon019
reducercommutativity/max10-1.yml                                                                                                                                                   unknown                          0.07        0.07  apollon120
reducercommutativity/max20-1.yml                                                                                                                                                   unknown                          0.08        0.08  apollon078
reducercommutativity/max40-1.yml                                                                                                                                                   unknown                          0.09        0.09  apollon153
reducercommutativity/max60-2.yml                                                                                                                                                   unknown                          0.07        0.07  apollon007
reducercommutativity/rangesum.yml                                                                                                                                                  unknown                          0.08        0.08  apollon076
reducercommutativity/rangesum05.yml                                                                                                                                                unknown                          0.09        0.09  apollon118
reducercommutativity/rangesum10.yml                                                                                                                                                unknown                          0.08        0.08  apollon122
reducercommutativity/rangesum20.yml                                                                                                                                                unknown                          0.07        0.07  apollon065
reducercommutativity/rangesum40.yml                                                                                                                                                unknown                          0.07        0.07  apollon161
reducercommutativity/rangesum60.yml                                                                                                                                                unknown                          0.07        0.07  apollon032
reducercommutativity/sep.yml                                                                                                                                                       unknown                          0.09        0.09  apollon162
reducercommutativity/sep05-1.yml                                                                                                                                                   unknown                          0.09        0.08  apollon019
reducercommutativity/sep10-2.yml                                                                                                                                                   unknown                          0.08        0.08  apollon073
reducercommutativity/sep20-1.yml                                                                                                                                                   unknown                          0.08        0.08  apollon046
reducercommutativity/sep40-1.yml                                                                                                                                                   unknown                          0.09        0.09  apollon064
reducercommutativity/sep60-2.yml                                                                                                                                                   unknown                          0.07        0.07  apollon095
reducercommutativity/sum05-2.yml                                                                                                                                                   unknown                          0.08        0.08  apollon078
reducercommutativity/sum10-1.yml                                                                                                                                                   unknown                          0.07        0.07  apollon012
reducercommutativity/sum20-2.yml                                                                                                                                                   unknown                          0.09        0.09  apollon005
